playerid,season,name,team,position,games_played,mins_played,shifts,shots_on_goal,shot_attempts,points,goals,assists,primary_assists,secondary_assists,blocked_shots,hits,takeaways,giveaways,faceoffswon,faceoffslost,penalties,penalty_mins,penaltiesdrawn,penalityminutesdrawn,pp_points,pp_goals,pp_assists,pk_points,pk_goals,pk_assists
8480950,2021,Ilya Lyubushkin,TOR,D,77,1344.23,1788,54,104,15,2,13,5,8,92,187,15,37,0,0,24,51,10,23,0,0,0,1,0,1
8476952,2021,Dominic Toninato,WPG,C,77,646.68,962,44,88,14,7,7,6,1,32,92,11,10,87,118,11,22,5,10,1,0,1,4,1,3
8477210,2021,Buddy Robinson,ANA,R,32,295.9,436,38,51,6,1,5,3,2,12,56,7,6,0,6,5,19,4,17,0,0,0,0,0,0
8481186,2021,Logan O'Connor,COL,R,81,1123.58,1539,127,202,24,8,16,12,4,59,100,38,17,5,17,16,38,24,54,0,0,0,4,1,3
8476391,2021,T.J. Tynan,LAK,C,2,21.68,31,3,4,0,0,0,0,0,2,1,0,0,6,7,0,0,0,0,0,0,0,0,0,0
8480990,2021,Declan Chisholm,WPG,D,2,25.9,32,4,9,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
8480304,2021,Jayden Halbgewachs,SJS,L,3,39.28,53,7,10,1,0,1,1,0,0,3,1,1,0,0,2,4,0,0,0,0,0,0,0,0
8477447,2021,Shea Theodore,VGK,D,78,1804.45,2050,205,417,52,14,38,22,16,97,37,60,58,0,0,12,24,9,20,11,1,10,0,0,0
8478447,2021,Nick Merkley,SJS,R,9,111.7,153,7,15,3,1,2,1,1,2,9,7,3,6,5,0,0,1,2,1,0,1,0,0,0
8475246,2021,Kevin Connauton,PHI,D,39,509.98,707,30,67,3,1,2,1,1,32,74,6,16,0,0,2,4,1,2,0,0,0,0,0,0
8482634,2021,Alex Steeves,TOR,C,3,23.92,40,2,5,1,0,1,0,1,1,1,3,0,0,0,0,0,1,2,0,0,0,0,0,0
8475167,2021,Victor Hedman,TBL,D,82,2056.2,2214,219,462,85,20,65,34,31,129,93,52,56,0,0,18,36,13,26,34,6,28,0,0,0
8477021,2021,Alexander Kerfoot,TOR,C,82,1247.6,1689,117,193,51,13,38,21,17,65,75,36,40,76,102,10,20,22,44,0,0,0,3,0,3
