playerid,season,name,team,position,games_played,mins_played,shifts,shots_on_goal,shot_attempts,points,goals,assists,primary_assists,secondary_assists,pp_points,pp_goals,pp_assists,pk_points,pk_goals,pk_assists,blocked_shots,hits,takeaways,giveaways,faceoffswon,faceoffslost,penalties,penalty_mins,penaltiesdrawn,penaltyminutesdrawn
8483490,2023,Pavel Mintyukov,ANA,D,63,1187.22,1469,88,169,28,4,24,10,14,6,0,6,1,0,1,65,85,18,20,0,0,11,24,12,24
8477527,2023,Ross Johnston,ANA,L,68,557.4,806,44,77,4,1,3,1,2,0,0,0,0,0,0,27,139,12,11,3,3,25,77,17,61
8475462,2023,Radko Gudas,ANA,D,66,1287.3,1576,88,220,18,6,12,4,8,0,0,0,1,0,1,154,232,12,40,0,0,42,98,20,52
8473986,2023,Alex Killorn,ANA,L,63,1180.12,1403,145,275,36,18,18,14,4,7,5,2,0,0,0,25,72,29,33,14,25,22,44,11,22
8476934,2023,Brock McGinn,ANA,L,24,265.88,377,24,42,3,1,2,0,2,0,0,0,0,0,0,11,37,4,4,5,7,2,4,4,8
8481533,2023,Trevor Zegras,ANA,C,31,529.73,573,73,135,15,6,9,4,5,1,1,0,0,0,0,15,16,15,16,53,86,9,20,4,8
8483445,2023,Cutter Gauthier,ANA,L,1,15.4,19,3,5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8481754,2023,Nikita Nesterenko,ANA,C,3,34.57,49,7,12,1,1,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0
8480806,2023,Isac Lundestrom,ANA,C,46,659.68,882,38,76,11,5,6,5,1,1,0,1,1,1,0,27,51,19,12,170,216,1,2,5,10
8483482,2023,Tristan Luneau,ANA,D,7,125.1,145,11,19,3,1,2,0,2,0,0,0,0,0,0,4,9,0,3,0,0,1,4,1,2
8483630,2023,Pavol Regenda,ANA,L,5,57.82,75,7,10,0,0,0,0,0,0,0,0,0,0,0,5,11,4,0,1,5,1,2,0,0
